Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2024-05-01,167.61871337890625,145.09165954589844,122.13317108154297,407.46051025390625,123.24503326416016,141.69528198242188,183.93409729003906,58.062644958496094,260.0927429199219,435.8287353515625,119.84574890136719,22.1200008392334,402.1099853515625,460.79034423828125,107.78142547607422
2024-05-02,171.3116455078125,146.0914306640625,129.3919219970703,412.8240051269531,126.3518295288086,140.51431274414062,183.7423553466797,58.11890411376953,259.00286865234375,438.2997131347656,119.34326934814453,22.549999237060547,397.3299865722656,469.2236022949219,107.97649383544922
2024-05-03,181.55886840820312,145.65516662597656,127.47417449951172,418.1778259277344,127.65839385986328,139.90509033203125,182.6398468017578,58.28766632080078,256.1974792480469,448.5010070800781,118.64542388916016,23.329999923706055,397.3900146484375,468.7286376953125,107.75354766845703
2024-05-06,179.90545654296875,147.51846313476562,124.73175048828125,423.41729736328125,129.81671142578125,139.25840759277344,184.0683135986328,58.456424713134766,255.23080444335938,462.1159973144531,118.70124816894531,25.209999084472656,394.8800048828125,470.565673828125,108.45023345947266
2024-05-07,180.58859252929688,147.85476684570312,124.16603088378906,423.54132080078125,129.9231414794922,139.38961791992188,183.82864379882812,58.70956039428711,253.5248260498047,464.65643310546875,121.3158950805664,21.399999618530273,393.6700134277344,476.8286437988281,107.9114761352539
2024-05-08,180.92520141601562,147.7366180419922,124.2043685913086,426.54754638671875,128.6165771484375,139.6051483154297,187.56752014160156,58.92519760131836,254.46307373046875,468.9830017089844,120.54361724853516,21.559999465942383,388.4800109863281,478.9703369140625,107.89289093017578
2024-05-09,182.73704528808594,150.38157653808594,126.24681091308594,434.7644348144531,130.26187133789062,140.44869995117188,189.3411102294922,58.95332717895508,253.9513397216797,471.7814636230469,121.17633056640625,21.139999389648438,396.6700134277344,482.6062927246094,110.02011108398438
2024-05-10,181.4779510498047,150.71791076660156,126.57280731201172,433.972412109375,131.0071563720703,140.50494384765625,190.5586395263672,59.30959701538086,260.6329650878906,472.5555114746094,121.01815032958984,20.600000381469727,401.5899963378906,488.1078796386719,109.57422637939453
2024-05-13,184.68019104003906,149.54534912109375,129.17138671875,432.8558349609375,131.58786010742188,141.73275756835938,190.52029418945312,59.609615325927734,257.145263671875,464.4281921386719,120.30166625976562,20.940000534057617,403.9599914550781,487.0894470214844,109.52777862548828
2024-05-14,185.82034301757812,148.7091827392578,128.54811096191406,437.54168701171875,132.40084838867188,141.88272094726562,193.18544006347656,59.15958786010742,256.5197448730469,468.2388000488281,119.71548461914062,21.440000534057617,401.67999267578125,489.1263427734375,110.19265747070312
2024-05-15,188.09068298339844,148.20016479492188,130.40835571289062,444.8138122558594,131.7523956298828,143.09178161621094,193.76065063476562,59.18771743774414,259.56201171875,477.8546142578125,122.57203674316406,21.670000076293945,403.4100036621094,492.6195983886719,111.04483032226562
